"Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years"
"770,42.91348,-81.2977,15,100,3,4,5,1,82,1,85,0,69,-8,92,6,91,13,71,27"
"600,43.04251,-80.8942,4,100,1,1,16,0,61,-7,42,-19,42,-5,54,-20,55,-2,22,-6"
"660,42.79388,-81.1806,2,100,0,0,14,0,65,5,57,-5,48,-2,74,2,63,-2,46,11"
"320,43.01362,-81.2245,30,95,10,10,10,0,44,3,31,-10,25,-19,63,26,67,23,52,19"
"485,42.99933,-81.1674,5,100,5,0,15,0,47,-8,27,-18,27,-15,51,-18,55,-10,15,-20"
"465,42.94293,-81.6166,0,100,0,0,10,0,57,5,52,11,48,5,64,-11,58,-6,28,-7"
"670,43.02566,-81.2844,46,100,12,13,3,3,93,13,89,11,88,8,92,7,90,5,77,2"
"725,42.75825,-81.1599,3,100,0,0,12,1,73,-2,72,-1,72,7,68,2,65,1,53,10"
"155,42.71333,-81.7493,0,100,0,0,10,0,40,-30,40,-17,50,2,78,17,94,55,22,0"
"485,42.95934,-81.2434,10,100,0,5,10,10,71,-5,62,-18,76,-6,84,-11,75,-17,52,-10"
"235,42.77747,-81.0836,0,100,0,0,10,0,73,14,69,37,77,0,83,-10,88,-1,88,3"
"235,42.93905,-81.2174,20,100,5,5,10,0,58,6,58,2,52,12,71,4,81,40,33,11"
"420,42.97405,-81.6253,5,100,0,5,10,0,73,9,78,18,68,8,82,15,76,5,39,1"
"430,43.01604,-81.2407,65,100,30,30,10,0,20,-16,38,-6,15,-16,58,-7,66,14,39,4"
"350,43.14062,-80.7555,5,100,0,0,5,0,58,-7,44,-16,53,-5,70,0,76,20,27,-14"
"565,43.03701,-81.2348,20,100,2,2,6,1,86,18,84,12,76,23,92,16,90,23,70,22"
"465,43.0048,-81.2516,25,95,10,10,0,0,82,-2,82,6,74,-7,92,16,89,19,67,2"
"240,43.12126,-80.7433,0,100,0,0,10,0,57,29,36,19,29,-5,43,-41,50,-34,7,-51"
"265,43.00066,-81.292,20,100,10,10,5,20,85,20,75,10,80,15,89,3,89,39,85,49"
"555,43.08625,-81.3603,1,100,0,0,5,1,79,-5,76,5,70,-2,80,1,85,16,45,-9"
"200,43.15685,-81.6871,0,100,0,0,5,0,69,22,31,-40,23,-18,68,-10,60,-5,40,-12"
"600,42.95684,-81.4404,3,100,0,1,7,1,84,0,78,-3,67,-6,84,-2,84,-1,54,-19"
"235,43.3062,-80.6138,0,100,0,0,5,0,62,0,67,21,86,32,59,14,76,31,35,-5"
"460,42.99337,-81.1887,0,100,0,0,10,0,53,1,29,-4,50,21,77,26,75,31,48,26"
"810,42.96806,-81.2209,30,100,10,10,6,1,38,-35,41,-35,45,-12,75,2,68,12,55,13"
"385,42.93728,-81.2328,50,100,20,20,10,0,56,-10,51,-12,46,12,74,3,76,5,45,-10"
"430,42.9739,-81.3047,20,100,5,5,5,5,86,15,81,7,77,17,84,1,89,7,66,14"
"420,43.04052,-80.8728,5,100,0,0,5,0,59,-12,59,5,52,3,61,-22,65,-4,39,18"
"340,42.9536,-81.2342,35,100,10,10,10,0,38,3,15,-12,15,-12,48,-9,45,2,32,-11"
"575,42.9439,-81.2622,31,100,11,11,11,0,59,11,67,13,55,18,59,7,71,23,30,6"
"360,43.0114,-81.2181,15,100,10,5,15,0,37,6,17,-5,17,-5,61,18,47,15,22,-8"
"320,42.88378,-80.7554,5,100,0,0,10,0,57,-8,31,-26,29,-25,82,-2,72,-17,42,1"
"365,43.11849,-80.758,20,100,5,5,10,0,71,10,61,-5,71,12,74,-2,69,2,43,19"
"630,42.76776,-81.2372,1,100,1,1,9,1,72,-7,58,-19,57,-20,79,6,77,11,54,7"
"560,43.14146,-80.7296,14,100,2,2,8,0,70,10,72,8,52,-1,71,-7,66,-9,56,16"
"345,42.99832,-81.2483,20,100,20,15,10,0,75,9,71,5,62,-10,69,-2,73,16,69,31"
"945,43.04658,-81.2419,31,100,14,14,9,1,89,5,88,9,77,2,83,3,84,10,59,7"
"510,43.02854,-81.2615,29,100,13,14,4,2,85,-4,87,1,83,-5,90,-7,90,0,57,-8"
"300,42.74709,-80.7793,10,100,5,0,5,0,48,-8,59,25,37,18,72,27,79,46,51,36"
"390,42.7646,-80.936,15,100,5,0,10,0,70,-1,50,-18,45,-23,73,0,69,7,47,18"
"320,43.31755,-80.8338,0,100,0,0,10,0,53,-11,53,-1,44,-15,89,28,81,14,52,19"
"295,42.96917,-81.2415,5,100,5,5,10,0,69,-8,54,-32,50,-21,71,-12,55,-28,45,6"
"355,43.06297,-81,0,100,0,0,10,0,74,19,70,22,56,17,77,2,69,-3,51,-7"
"135,42.97975,-81.2132,5,100,0,0,20,0,47,12,20,-27,20,-21,27,-18,20,-7,7,-2"
"380,42.98084,-81.1792,10,100,5,5,10,0,43,-6,43,-13,49,8,70,2,77,21,45,23"
"320,42.99792,-81.2788,50,100,20,20,5,0,79,1,79,10,54,-2,90,-1,84,-4,77,-2"
"180,43.01792,-81.496,0,100,0,0,10,5,72,-8,72,12,67,0,90,8,80,15,60,13"
"205,42.9733,-81.2614,15,100,0,0,10,0,31,-21,23,-25,27,-25,50,-31,58,-4,17,-21"
"475,42.94966,-81.284,40,100,10,15,15,0,60,26,55,21,51,28,73,21,73,32,35,17"
"465,43.10398,-81.1545,5,100,0,0,5,0,72,14,64,8,58,-7,75,-4,81,6,54,0"
"585,42.85832,-80.7493,3,100,0,1,5,1,73,-4,75,14,62,-5,64,-8,72,10,36,-2"
"645,42.94482,-81.2926,30,100,7,7,9,1,75,10,75,27,71,25,77,17,83,25,48,23"
"910,42.93336,-81.2324,52,100,19,19,8,1,52,8,49,3,47,16,71,7,71,9,36,-4"
"600,43.19437,-81.4024,2,100,0,0,5,0,59,-9,59,6,54,5,76,-10,72,9,36,-1"
"750,42.99655,-81.3059,43,99,13,13,12,0,55,14,45,1,35,1,62,3,59,1,30,-3"
"395,42.94114,-81.2077,20,100,10,10,10,0,42,-1,40,13,33,10,54,3,54,8,33,3"
"425,43.13685,-80.7404,5,100,0,0,15,0,56,-8,47,-42,44,8,61,-6,67,8,21,-12"
"510,42.96501,-81.2862,17,100,10,10,11,0,58,2,35,-17,35,-12,40,-3,36,1,13,-9"
"260,42.96673,-81.2505,0,100,0,0,10,0,67,19,62,14,67,15,83,2,70,5,48,6"
"650,43.68526,-79.5279,25,100,7,7,12,1,80,-9,83,-10,60,-26,89,0,96,8,70,10"
"270,43.75329,-79.3214,30,100,10,15,10,0,88,9,80,-5,76,6,93,-1,96,7,74,-4"
"215,43.82953,-79.2333,25,100,10,5,10,0,95,-5,95,-5,56,4,88,-12,96,-4,40,-32"
"460,43.72718,-79.4041,10,100,0,0,10,5,92,-4,92,-4,87,1,93,3,96,2,70,4"
"135,43.78703,-79.3925,25,100,20,20,25,0,70,-4,70,-4,33,-50,50,-40,50,-45,0,-50"
"250,43.69801,-79.3194,20,100,10,10,15,0,90,-4,87,-3,65,7,88,-6,88,-9,69,14"
"195,43.79349,-79.1747,10,100,0,0,10,0,63,-15,67,-8,27,-41,83,16,76,-9,31,-18"
"195,43.6923,-79.4426,30,100,0,5,20,0,76,31,71,23,38,14,66,-14,78,12,22,-9"
"110,43.79901,-79.3285,40,95,30,25,20,0,86,8,93,28,36,-7,67,5,78,24,26,11"
"485,43.68565,-79.5375,0,100,0,5,10,5,85,-9,92,0,63,-12,98,0,96,-2,65,-16"
"475,43.62882,-79.5174,20,100,5,10,10,0,71,-11,73,-11,67,-15,78,-7,80,-11,52,-13"
"210,43.72963,-79.6196,10,100,20,15,15,0,79,11,71,-2,67,2,75,3,75,-2,25,-33"
"245,43.68999,-79.3411,30,100,10,10,10,0,82,9,64,-9,61,28,82,6,79,-5,21,-16"
"150,43.63845,-79.435,30,100,10,10,15,0,57,-10,52,-26,17,-39,79,6,83,1,50,14"
"270,43.67753,-79.3469,15,100,0,0,20,0,73,-4,73,-4,57,7,81,-13,81,-11,40,-16"
"170,43.68492,-79.4137,25,100,15,10,10,0,92,-8,100,0,71,-14,100,16,100,5,67,4"
"270,43.78026,-79.3019,35,95,30,30,20,0,56,3,64,11,33,-5,54,-24,59,-15,21,-18"
"350,43.69763,-79.4786,30,100,10,10,15,0,62,17,55,3,28,3,67,10,69,3,25,-3"
"110,43.69503,-79.2631,10,100,0,5,20,5,72,2,78,8,61,11,87,-8,73,-17,53,10"
"400,43.66109,-79.4862,35,100,10,10,5,5,80,25,85,9,56,10,80,22,75,23,52,33"
"500,43.66009,-79.5655,85,100,6,7,4,2,84,-8,92,-3,77,-16,94,0,89,-9,57,-18"
"145,43.6641,-79.5854,20,100,5,0,10,0,83,12,78,-15,72,8,100,23,90,28,62,16"
"130,43.75107,-79.6052,20,100,25,25,20,5,43,-40,47,-27,40,-17,54,-13,69,11,31,-11"
"305,43.65348,-79.5758,25,100,5,5,10,0,71,-17,74,-12,52,-26,100,4,100,9,86,10"
"560,43.70951,-79.2931,28,100,18,19,15,0,81,9,81,3,57,-2,75,3,85,13,49,14"
"120,43.81224,-79.2733,20,100,10,10,10,0,72,-1,83,13,50,-23,76,-18,94,-3,48,-29"
"65,43.78995,-79.3539,40,100,20,20,20,0,78,-15,70,-23,48,-23,92,-2,85,-15,31,-50"
"395,43.66623,-79.3744,35,100,10,10,10,0,76,5,73,-5,64,9,76,0,86,4,41,-1"
"325,43.68697,-79.3834,15,95,10,5,10,5,95,-5,95,-3,82,-16,97,4,100,4,67,-2"
"570,43.64895,-79.5188,12,100,2,3,10,7,89,2,82,-6,74,-4,92,-2,95,3,74,-7"
"470,43.68329,-79.4893,35,100,15,20,15,0,63,3,61,7,41,-3,49,-6,51,-4,9,-11"
"230,43.71656,-79.4315,40,100,15,15,20,0,67,11,78,10,47,-9,76,23,87,22,31,-1"
"185,43.65156,-79.421,15,100,0,5,25,0,91,8,91,1,78,19,87,7,84,8,42,2"
"320,43.7394,-79.3029,45,95,30,25,10,0,76,7,80,-1,63,-4,67,16,79,18,21,-8"
"115,43.82541,-79.2788,40,100,5,5,15,10,98,10,95,7,85,13,94,1,94,-6,74,1"
"265,43.71006,-79.4593,20,100,10,10,5,0,88,8,88,-2,64,-16,73,-13,78,-8,19,-42"
"155,43.81222,-79.2207,20,95,5,0,30,0,79,13,71,16,57,5,71,0,76,0,52,19"
"135,43.68132,-79.4778,50,100,15,15,15,0,52,20,48,7,30,12,85,23,80,18,40,19"
"310,43.72359,-79.2299,10,100,5,5,10,0,68,14,58,-34,53,-7,92,7,90,8,31,-7"
"170,43.79853,-79.4026,35,100,20,20,10,5,91,4,91,8,76,-7,59,-18,70,-10,30,-17"
"160,43.79751,-79.3093,40,100,35,40,10,0,78,14,74,6,59,-9,81,9,81,2,48,-11"
"195,43.74377,-79.2613,20,100,15,10,10,0,70,2,62,-8,60,17,67,-14,80,1,40,6"
"190,43.68313,-79.4317,35,100,10,10,15,0,65,5,60,-10,35,-15,74,18,87,31,57,42"
"350,43.6477,-79.4321,20,100,5,0,10,0,89,-3,92,2,81,-6,75,-25,83,-17,42,-43"
"480,43.72357,-79.5175,30,100,30,35,10,0,86,34,79,32,65,12,55,-22,69,-8,24,-11"
"365,43.74488,-79.5821,25,100,20,25,10,0,55,3,57,-9,36,1,49,0,68,10,21,-13"
"320,43.75426,-79.5974,20,100,25,20,10,0,65,-3,57,-8,27,-23,53,-26,45,-30,11,-37"
"250,43.70535,-79.3716,15,100,0,0,10,5,79,-15,87,-7,56,-35,93,-3,100,9,75,3"
"235,43.66342,-79.4348,15,100,0,5,15,0,87,13,76,2,63,10,82,2,79,-8,61,11"
"235,43.77712,-79.4296,40,100,25,20,10,0,92,3,83,-3,56,-20,70,-5,77,0,32,2"
"330,43.76808,-79.5248,20,100,30,30,10,0,62,-2,66,-9,29,-20,58,0,69,11,14,-3"
"205,43.76244,-79.2188,20,95,30,30,20,0,67,24,56,5,47,24,85,-8,85,-6,44,-7"
"150,43.79734,-79.2284,20,100,0,0,15,0,83,15,87,7,52,4,92,-4,96,-4,80,15"
"90,43.81809,-79.2068,30,90,20,30,20,0,50,-39,44,-50,38,-40,90,7,100,9,90,51"
"415,43.72316,-79.5728,20,100,10,5,10,0,86,-2,86,-7,77,-4,85,-1,84,-2,29,-19"
"440,43.7027,-79.5,35,100,10,10,10,0,79,10,79,-2,67,0,62,0,78,7,16,-2"
"435,43.73307,-79.3558,20,100,10,10,5,10,95,3,98,16,91,36,94,-3,97,0,78,4"
"195,43.74057,-79.2197,30,100,30,30,15,0,83,14,83,0,55,-2,81,-5,89,5,61,20"
"405,43.78273,-79.149,5,100,0,0,15,5,91,-7,88,-6,77,-2,86,-6,83,-9,64,-5"
"545,43.68716,-79.3162,16,100,7,8,9,2,92,1,81,-5,67,-1,75,-14,80,-10,35,-16"
"545,43.66056,-79.4745,16,100,5,6,8,2,83,-9,58,-34,68,-1,92,0,96,6,77,17"
"170,43.7133,-79.4512,30,100,10,10,10,0,53,-15,63,-14,43,-12,50,-32,78,-10,31,-10"
"265,43.76234,-79.5178,30,100,10,15,5,0,73,25,76,19,49,11,56,-2,73,26,26,10"
"320,43.67929,-79.4414,25,95,10,10,10,0,97,-3,97,-3,77,-20,98,14,98,16,43,5"
"380,43.63258,-79.5739,10,100,5,0,10,5,94,9,88,3,70,-2,91,-9,96,-4,67,-24"
"170,43.8062,-79.2113,20,95,10,10,25,0,43,-27,25,-40,25,-45,58,-9,65,5,27,-13"
"450,43.73023,-79.4927,20,100,5,10,10,0,76,1,70,-3,62,6,75,6,82,19,33,18"
"255,43.68471,-79.5216,70,100,10,10,5,0,80,-17,80,-17,72,-15,84,-8,91,15,72,8"
"250,43.67299,-79.2899,10,100,0,0,10,0,92,4,96,4,77,-6,97,5,100,8,74,2"
"165,43.79831,-79.1555,15,100,25,25,10,0,79,9,83,-2,67,2,74,-19,90,1,23,-48"
"215,43.73174,-79.5913,20,100,10,10,10,0,73,11,70,20,43,17,58,-14,73,-8,21,-7"
"195,43.6933,-79.2842,45,100,20,20,15,0,57,-6,61,-13,54,-20,81,2,88,4,62,15"
"135,43.78806,-79.2156,30,100,20,20,10,0,62,-19,65,-8,62,-3,87,15,80,-4,50,10"
"290,43.75377,-79.4133,30,100,10,5,10,0,78,-14,78,-14,78,-14,83,-8,85,-1,52,-12"
"155,43.63506,-79.5575,25,100,10,15,15,5,85,5,65,-35,35,-45,85,6,91,-1,63,1"
"75,43.78897,-79.2467,30,100,30,20,30,0,71,-6,57,-28,36,-2,59,-6,53,-12,35,4"
"380,43.69236,-79.5369,15,100,0,0,10,0,68,-11,78,2,57,-17,61,-20,77,-11,26,-32"
"455,43.71721,-79.4852,15,100,0,0,5,0,84,0,87,1,58,-8,84,-3,86,-2,48,0"
"115,43.79868,-79.2073,25,100,15,10,10,0,53,-22,47,-38,47,-18,64,-24,64,-24,43,11"
"365,43.71098,-79.4832,35,100,10,10,20,0,65,13,83,21,59,19,61,0,85,5,26,-3"
"280,43.75414,-79.5189,20,100,10,15,15,0,59,-17,59,-30,25,-27,73,6,80,-5,37,7"
"105,43.65633,-79.4146,10,100,0,0,20,10,87,-6,80,-13,73,-13,58,-28,62,-33,46,-22"
"195,43.76878,-79.3907,50,100,30,25,15,0,79,6,79,17,46,-8,61,-6,65,-13,42,-2"
"80,43.81284,-79.2262,70,100,10,10,20,10,93,13,80,16,73,21,79,-3,93,17,36,18"
"175,43.78044,-79.3263,40,100,15,15,15,0,70,2,68,-12,60,-8,91,12,91,12,67,9"
"605,43.65989,-79.5442,14,100,5,4,12,2,90,7,94,0,71,1,87,3,93,4,58,-5"
"265,43.65199,-79.4358,30,100,10,5,15,0,64,9,62,7,64,23,62,-26,78,-14,22,-36"
"120,43.81373,-79.3278,35,100,15,20,5,0,100,6,90,-1,85,1,100,10,100,3,67,29"
"220,43.76245,-79.3218,50,100,30,30,10,0,88,4,88,6,71,5,86,4,97,11,66,23"
"130,43.66471,-79.4952,50,100,20,25,20,0,50,-3,69,4,38,-3,47,-13,67,-9,13,-19"
"370,43.74202,-79.5132,40,95,5,10,20,0,56,-2,61,-9,49,-3,67,14,76,19,36,20"
"110,43.80232,-79.1739,30,100,20,15,20,0,67,-17,60,-35,40,-34,87,-4,100,15,52,-9"
"355,43.74869,-79.4889,25,100,10,5,10,0,68,-10,80,4,49,2,88,4,97,11,60,3"
"220,43.71318,-79.2755,20,100,15,15,10,0,71,10,64,3,54,15,87,13,81,4,68,8"
"210,43.68866,-79.4505,40,100,10,10,10,0,76,-10,58,-22,27,-44,69,-15,69,-12,23,-6"
"375,43.68032,-79.2944,0,95,0,0,15,5,84,-6,77,-13,71,-16,94,5,94,7,46,-18"
"265,43.73836,-79.5539,30,100,10,10,10,0,65,-4,77,-5,53,-9,79,17,91,24,52,14"
"250,43.71239,-79.329,45,100,30,30,10,0,64,-11,56,-19,44,-14,82,-15,82,-12,69,-22"
"375,43.70362,-79.5223,20,100,20,20,10,0,77,4,72,-1,57,1,71,-20,80,-11,29,-21"
"195,43.66596,-79.3315,10,95,5,5,30,0,68,4,75,-1,50,6,68,-2,68,-2,26,-9"
"450,43.74035,-79.5394,35,100,20,15,10,0,69,0,68,-13,51,-18,71,11,86,26,25,-8"
"155,43.78584,-79.3374,50,100,20,20,20,0,80,32,80,35,60,2,78,32,83,29,50,21"
"140,43.75109,-79.3064,35,100,20,20,20,0,72,25,67,-1,33,12,81,1,81,1,48,15"
"285,43.74908,-79.2799,50,100,10,10,10,0,87,14,85,0,62,2,75,-1,88,13,43,-8"
"295,43.6145,-79.4965,25,100,10,10,10,0,72,-12,78,-11,50,8,81,-1,93,7,72,8"
"175,43.62589,-79.5008,20,100,0,5,10,0,70,-15,85,15,50,-20,79,-4,93,1,57,-18"
"170,43.77131,-79.1658,20,100,10,10,15,0,87,20,77,6,48,-6,89,6,93,-1,66,16"
"295,43.6797,-79.5541,30,100,20,20,10,0,51,-21,55,-21,29,-30,72,2,86,25,36,15"
"410,43.73611,-79.4267,40,100,10,10,10,0,87,-5,90,-5,78,1,70,-3,87,4,46,13"
"560,43.73017,-79.2657,32,100,17,17,11,0,79,-5,84,6,59,-5,74,-9,74,-11,23,-12"
"180,43.63447,-79.4899,55,100,10,10,20,0,90,2,90,2,95,7,83,12,83,26,33,-24"
"165,43.741,-79.5021,30,100,10,10,20,0,84,36,79,27,47,-8,60,-21,70,3,30,6"
"315,43.76702,-79.1865,30,100,35,35,15,0,60,-12,47,-34,37,-13,78,-5,70,-23,43,-24"
"190,43.64565,-79.4048,20,100,10,10,10,0,68,7,68,7,50,3,85,3,80,-14,40,5"
"185,43.67223,-79.4401,35,100,10,10,10,0,93,-3,93,5,64,-4,86,19,91,5,59,-12"
"370,43.68053,-79.4678,45,100,5,5,20,0,68,10,62,-1,45,8,60,-9,69,2,26,-10"
"205,43.78508,-79.3596,30,100,20,20,10,0,78,-14,85,16,70,-7,95,9,95,9,45,-12"
"170,43.69829,-79.5539,30,100,20,20,10,0,92,0,92,0,96,14,77,-16,95,9,32,-29"
"110,43.64791,-79.3698,30,100,10,10,10,0,79,5,86,8,71,19,81,-4,90,5,38,-7"
"205,43.70996,-79.3976,40,100,25,20,15,0,76,-2,72,-15,48,-26,81,-7,88,-2,50,-8"
"240,43.69132,-79.2982,20,100,20,20,10,0,76,-5,69,-12,40,-13,97,8,82,-13,74,32"
"425,43.68328,-79.4607,40,100,10,10,20,0,56,-13,59,-15,36,-16,67,-10,75,-6,21,-15"
"260,43.73457,-79.4643,25,100,15,15,10,0,80,0,86,6,66,9,75,-7,81,-4,17,-4"
"495,43.79192,-79.4316,40,100,10,10,10,0,71,-9,69,-10,54,0,75,0,79,3,30,-18"
"145,43.65571,-79.3613,30,100,20,20,15,0,60,-15,67,-3,67,-3,85,21,92,35,35,6"
"210,43.67432,-79.4575,40,100,5,10,20,0,47,-23,65,-2,47,-8,75,-9,88,1,29,-10"
"420,43.6511,-79.485,10,100,5,0,5,0,94,-1,90,-5,87,-4,92,-4,98,7,63,2"
"395,43.72871,-79.489,25,100,10,10,15,0,70,-6,74,-15,65,-4,72,-9,79,-2,28,7"
"210,43.76839,-79.2397,25,100,20,25,10,0,77,-15,77,-15,65,-9,90,12,94,22,45,-27"
"445,43.74957,-79.4443,30,100,15,15,10,0,89,1,85,-1,72,10,91,3,96,2,43,-19"
"190,43.75397,-79.5661,30,100,15,10,20,0,76,23,79,14,53,12,68,5,71,0,35,6"
"285,43.75712,-79.2407,20,100,15,10,15,0,83,-7,71,-4,56,-9,73,-13,80,-10,30,-2"
"185,43.66283,-79.4398,40,100,10,15,25,0,100,0,100,0,81,-12,100,4,92,0,58,-22"
"375,43.71961,-79.5359,20,100,10,10,10,0,76,1,81,0,44,-20,83,5,85,5,35,-13"
"240,43.72199,-79.5544,20,100,20,25,30,0,74,0,76,8,45,-19,71,10,77,14,16,-8"
"95,43.80559,-79.3021,40,100,10,20,10,0,94,-6,62,-31,62,-25,89,-6,95,0,74,-1"
"125,43.71558,-79.2424,25,100,20,20,10,0,58,-2,47,-33,32,-13,91,0,100,5,27,-28"
"335,43.69591,-79.4451,40,100,15,10,15,0,92,7,86,5,58,-10,89,19,92,15,46,3"
"190,43.77841,-79.2251,35,100,25,30,5,0,65,-23,52,-33,45,-1,91,15,89,5,66,24"
"370,43.77453,-79.3508,35,100,20,15,15,5,84,9,60,-9,60,-5,83,12,92,15,41,4"
"140,43.74982,-79.1997,10,100,10,5,10,0,74,2,56,-22,33,-17,77,-2,77,-19,23,-6"
"220,43.76907,-79.2591,25,100,5,5,10,10,58,13,71,10,52,7,88,13,88,4,51,4"
"260,43.64668,-79.4478,15,100,0,0,15,5,97,8,91,-1,82,-7,97,3,100,6,72,14"
"395,43.7601,-79.5025,25,100,20,15,20,0,57,-10,63,-13,41,-10,66,7,71,-2,27,-19"
"210,43.74319,-79.5077,25,100,0,5,20,0,54,-34,58,-39,42,-17,76,3,79,1,17,-24"
"230,43.67974,-79.4445,55,100,10,10,10,0,62,-16,44,-42,31,-25,75,-7,73,-5,41,1"
"255,43.70672,-79.4445,35,100,15,15,10,0,72,-21,91,-4,56,-27,91,3,94,4,77,1"
"315,43.69182,-79.563,20,100,5,5,10,10,85,8,79,10,77,15,94,5,97,4,61,-4"
"210,43.75691,-79.5798,20,100,0,0,20,0,92,-2,85,-6,65,-19,86,-3,81,-13,43,-13"
"85,43.81926,-79.2784,70,100,0,0,10,0,76,-7,71,-12,82,-1,91,9,91,5,83,4"
"150,43.73138,-79.5943,40,100,15,20,20,0,82,-3,76,-13,50,-15,94,20,97,27,42,-3"
"345,43.64578,-79.4287,10,100,5,5,20,0,71,6,87,4,48,-13,94,6,97,3,60,1"
"175,43.81165,-79.2076,30,100,5,5,15,0,50,-6,70,17,38,-1,60,-12,60,-2,20,-25"
"220,43.80812,-79.1905,65,100,10,15,15,0,85,3,88,3,65,-14,94,-2,96,-2,66,-9"
"435,43.66142,-79.4728,10,100,0,0,15,0,76,-10,64,-6,59,-4,83,3,83,5,39,-11"
"100,43.72612,-79.241,50,100,15,20,20,0,82,4,88,-6,65,-7,87,22,96,22,57,18"
"155,43.7409,-79.4195,15,100,10,10,10,0,79,-9,76,-15,84,5,97,5,100,11,61,3"
"110,43.75967,-79.4002,10,100,0,5,15,5,100,0,100,0,91,-9,100,0,100,0,80,-12"
"425,43.75967,-79.4002,55,95,40,45,5,0,77,31,69,23,59,13,79,-2,92,17,58,-3"
"85,43.82651,-79.2798,60,100,10,0,10,0,81,22,72,10,72,18,79,-4,88,5,75,8"
"225,43.74258,-79.5746,50,100,10,10,15,0,71,-5,67,-16,47,-32,84,4,86,14,54,9"
"570,43.72785,-79.4,13,99,6,6,12,1,98,1,95,-2,91,-5,90,-6,90,2,65,-15"
"490,43.70721,-79.3701,10,100,0,0,15,0,98,8,98,13,93,3,90,4,88,2,71,6"
"170,43.70173,-79.2598,25,100,10,10,20,0,67,-12,55,-27,45,-19,61,-15,81,-3,44,4"
"370,43.69198,-79.2656,10,95,0,0,10,0,77,-11,84,-4,68,8,85,12,96,26,44,17"
"285,43.68509,-79.2839,0,100,0,0,10,0,77,-1,71,-12,71,14,86,-5,86,0,38,-12"
"855,43.67678,-79.3149,6,100,2,2,14,15,68,-9,68,-22,54,-11,88,-3,79,-9,59,-7"
"220,43.65304,-79.4378,20,100,0,5,15,0,87,12,83,5,78,6,83,-3,83,2,72,15"
"260,43.82784,-79.2345,60,100,5,5,10,0,83,7,95,9,75,3,91,3,97,8,75,16"
"205,43.66103,-79.3333,5,100,0,0,20,0,69,-3,58,-18,38,-24,87,18,87,33,60,37"
"205,43.75144,-79.2998,40,100,15,15,20,0,90,45,84,36,65,26,95,49,95,41,73,46"
"285,43.67235,-79.46,30,100,5,5,15,0,47,12,50,15,27,-8,72,12,69,4,28,28"
"195,43.74729,-79.2302,50,100,10,10,10,0,77,-9,77,-2,68,4,89,6,88,6,69,15"
"310,43.69602,-79.4305,15,100,5,10,10,0,100,8,97,3,95,1,88,-8,93,4,60,-18"
"210,43.69343,-79.4751,45,100,20,15,20,0,67,22,69,21,46,20,54,-2,49,-18,4,-13"
"145,43.80271,-79.1638,20,100,20,20,25,0,77,1,54,-28,43,-7,71,-14,68,-10,35,1"
"130,43.70998,-79.2418,10,100,0,0,15,0,73,-20,60,-26,87,8,86,-8,86,-8,79,23"
"175,43.77305,-79.2245,60,100,10,10,5,30,82,-4,79,-5,82,11,92,3,94,4,86,16"
"415,43.71647,-79.2963,30,95,5,5,15,0,61,3,52,2,36,-29,71,-20,75,-13,43,0"
"245,43.67932,-79.2787,5,100,0,0,10,0,97,7,100,5,86,19,100,13,96,5,78,17"
"270,43.70845,-79.271,40,100,10,10,20,0,74,3,51,-13,44,-13,79,-7,76,-8,53,-15"
"165,43.80919,-79.3179,70,100,0,5,15,5,98,6,85,-3,83,1,90,7,94,4,76,2"
"440,43.68965,-79.3915,30,95,15,15,15,5,100,19,100,14,90,14,91,6,94,9,72,-7"
"345,43.6849,-79.5561,50,100,10,10,20,0,54,4,50,-18,42,0,71,3,74,6,36,3"
"430,43.757,-79.2622,70,100,15,15,10,0,76,6,75,2,67,13,78,0,73,4,40,-2"
"110,43.75016,-79.2797,50,100,10,5,25,0,44,-21,31,-45,28,-31,71,19,74,17,39,11"
"285,43.66701,-79.4361,25,100,5,5,15,0,61,-3,50,-7,47,-5,80,7,87,10,37,6"
"545,43.63657,-79.4351,42,100,9,8,13,27,65,4,63,0,34,-14,76,1,74,-2,38,-1"
"605,43.74926,-79.4468,41,99,15,15,12,6,74,6,73,6,59,-1,84,4,87,12,58,-1"
"630,43.66588,-79.3224,8,100,2,2,15,15,71,13,65,-2,55,12,92,0,86,10,55,10"
"390,43.68602,-79.3212,0,100,5,5,15,0,83,2,70,-17,67,-9,60,-17,50,-19,20,5"
"545,43.68132,-79.3212,6,99,1,1,8,0,88,8,76,4,69,-1,95,26,91,29,65,23"
